,,MiniCab Lite
重量（kg）,,1.3 kg (2.9 Ib)
尺寸（宽度*深度*高度）,,194*144*51 mm (7.6*5.7*2.0 in)
"防护等级
",,IP20
材质,,铝
电压,,48V DC
通讯方式,网口,2*Ethernet（千兆）
,工业协议,TCP/IP，Modbus TCP，Modbus RTU，PROFINET，Ethernet/IP
I/O端口,,8路数字输入、8路数字输出
I/O电源,,24 VDC
环境温度,,0-50℃（32-122℉）
环境湿度,,10-90%RH
海拔,,≤1000 m (39370 in)
大气压,,1 Bar
